Title;Price;Link;Id;Year;Km;Location
Volvo, XC40 B4;CHF 47'700.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/volvo-xc40-b4-ultimate-awd--49259556.aspx?fcid=113&pi=2&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;49259556;2022;13;1791 Courtaman (FR)
Citroen, c3;CHF 55.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/location-de-voiture--49006715.aspx?fcid=113&pi=2&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;49006715;2014;1;1092 Belmont-sur-Lausanne (VD)
Mini, Cooper électrique;CHF 31'800.– / Prix à discuter;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/mini-cooper-%c3%a9lectrique-neuve-service-gratuit-10-ans-100000km--48941729.aspx?fcid=113&pi=2&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;48941729;2023;50;1926 Fully (VS)
Hyundai, Kona;CHF 37'800.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/hyundai-kona-n-line--47086604.aspx?fcid=113&pi=2&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;47086604;2023;20;2000 Neuchâtel (NE)
Mercedes, Jantes 20 pouces;CHF 400.– / Prix à discuter;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/jantes-20-pouces-mercedes-avec-certificat-d%e2%80%99homologation--48765371.aspx?fcid=113&pi=2&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;48765371;2023;0;1907 Saxon (VS)
Toyota, Yaris Hybrid léger;CHF 24'300.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/toyota-yaris-hybrid-l%c3%a9ger-15-113cv-automatique--48237997.aspx?fcid=113&pi=2&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;48237997;2023;10;2000 Neuchâtel (NE)
Smart, Fortwo Automatique;CHF 250.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/location-smart-fortwo-automatique--48573266.aspx?fcid=113&pi=2&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;48573266;2015;0;1212 Grand-Lancy (GE)
Mitsubishi, Asx 1.6 HEV Hybride;CHF 26'990.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/mitsubishi-asx-13-16-hybride-d%c3%a8s-26'990--48328741.aspx?fcid=113&pi=2&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;48328741;2023;40;1376 Goumoens-la-Ville (VD)
VW, Golf R;CHF 67'900.– / Prix à discuter;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/vw-golf-8-r-edition-20years-blanche,-neuve,-toutes-options--47790364.aspx?fcid=113&pi=2&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;47790364;2023;13;1052 Le Mont-sur-Lausanne (VD)
BMW, BM54;CHF 450.– / Prix à discuter;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/ampli-radio-becker-bm54--47615151.aspx?fcid=113&pi=2&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;47615151;2020;1;1677 Prez-vers-Siviriez (FR)
Tesla, 3;Gratuit;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/b%c3%a9n%c3%a9ficiez-de-supercharge-tesla-gratuite--47578183.aspx?fcid=113&pi=2&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;47578183;2023;10;1040 Echallens (VD)
Alfa Romeo, F1;CHF 200.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/veste-%c3%a9curie-sauber-alfa-romeo-f-1--41924777.aspx?fcid=113&pi=2&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;41924777;2019;0;1006 Lausanne (VD)
Autres, Estrima biro;Prix sur demande;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/estrima-biro-neuve-2020-sans-permis-10km-h--45222010.aspx?fcid=113&pi=2&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;45222010;2020;8;1616 Attalens (FR)
BMW, Mini;CHF 179.– / Prix à discuter;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/bmw-mini-autodiagnosger%c3%a4t--44528109.aspx?fcid=113&pi=2&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;44528109;2022;0;8180 Bülach (ZH)
Tvr, Basses;CHF 76.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/hautparleur-woofer-active,petit,-pour-voiture-ou-autres--42491233.aspx?fcid=113&pi=2&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;42491233;2020;0;2000 Neuchâtel (NE)
Ford, tourneo courier;CHF 120.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/barre-de-toit-pour-ford-tourneo-courier--37893682.aspx?fcid=113&pi=2&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;37893682;2015;1;1303 Penthaz (VD)
Dacia, Duster 30km/h  et 45km/h;CHF 3'000.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/dacia-duster-30km-h-et-45km-h--23807816.aspx?fcid=113&pi=3&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;23807816;2019;0;2114 Fleurier (NE)
Autres, véhicules 30 et 45 km/h;Prix sur demande;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/autres-v%c3%a9hicules-30-et-45-km-h--24173777.aspx?fcid=113&pi=3&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;24173777;2019;0;2300 La Chaux-de-Fonds (NE)
Autres, Egal;CHF 1'500.– / Prix à discuter;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/andere-egal--13955572.aspx?fcid=113&pi=3&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;13955572;2014;0;5712 Beinwil am See (AG)
